zeta_46m,phi_theta
-0.23974046,1.53183461504
-0.23744917,1.76304989838
-0.23726946,1.86383040006
-0.23471779,2.2764519339
-0.23249135,4.76730997544
-0.22937832,3.34621901901
-0.22924237,1.63625484157
-0.22344204,1.82993359159
-0.22328463,1.70083336947
-0.22326715,1.99531870398
-0.22166412,1.86759770942
-0.22131388,8.89349266951
-0.21980552,6.97225720125
-0.21976373,2.18875277631
-0.21912216,2.61166404632
-0.21852377,1.51248485054
-0.21397591,2.25385655798
-0.21389816,2.08403826429
-0.21265266,1.65006431249
-0.20952169,3.08092969165
-0.20942759,1.68910835087
-0.20856698,2.08317200722
-0.20789087,1.76787266261
-0.2067576,1.87423849174
-0.20526014,1.62336457543
-0.2034962,1.86808716252
-0.20277702,1.92781883727
-0.1971546,1.79204893822
-0.196263,1.64488264959
-0.19571967,1.5634345812
-0.19483062,1.99730023992
-0.19398175,2.64344875874
-0.19170426,3.73795308988
-0.19013978,2.69268263082
-0.18904524,1.69733726431
-0.18832951,3.14103621122
-0.18797041,9.20128131023
-0.186404,1.82367643391
-0.18356413,4.53010399743
-0.18333583,1.93566877059
-0.18304063,2.53787936949
-0.18255912,2.53623315741
-0.18003925,2.26882025386
-0.179104,2.8576244611
-0.17815396,4.26440936062
-0.17745529,2.66026487006
-0.17675614,1.73988380201
-0.17637384,1.75034535332
-0.17557468,1.76315416869
-0.17520488,1.71255015867
-0.1750646,1.52574158771
-0.17439371,2.77499819494
-0.17372975,1.76770026976
-0.17319243,2.6149452551
-0.17135578,2.74935815011
-0.16786757,2.34400670222
-0.16747529,1.61084679644
-0.16654974,2.62603663665
-0.16613138,1.89725614593
-0.1648488,4.27749404705
-0.16171133,1.63062025723
-0.16026429,1.53567947472
-0.15874482,3.17941022921
-0.15797841,1.94421270612
-0.15727104,1.65244743664
-0.15702733,1.64790703627
-0.15647519,2.88979683943
-0.15420956,1.93553729149
-0.15377855,1.74641709842
-0.15347564,4.00624688343
-0.15318883,2.42729294166
-0.15296349,1.60476171407
-0.15191664,3.58636972315
-0.14995788,2.98704930677
-0.14912824,4.74485608007
-0.14883816,2.36906381131
-0.14807353,1.88435171375
-0.14780873,2.57024910919
-0.14678937,2.13470765694
-0.14676656,2.95805118132
-0.14553187,2.09630710385
-0.14485671,2.00149022609
-0.14457036,1.7111519204
-0.14438459,1.69470104139
-0.1440797,1.7343496709
-0.14340401,3.47838322605
-0.14283299,3.19162643349
-0.14170286,5.71506887972
-0.14135434,2.03481189881
-0.13955652,2.10038260778
-0.13908619,1.62836992511
-0.13888523,1.82223143686
-0.13785056,3.12549375765
-0.13783329,3.40098823033
-0.13777805,2.37242905977
-0.13746949,1.91338222533
-0.13684658,1.88696892136
-0.13650327,2.8299064101
-0.13587843,1.61151215289
-0.13563771,12.981845356
-0.13370871,4.27472659904
-0.13353136,4.53996702762
-0.13256995,3.39666740236
-0.13205435,1.9308978003
-0.13151598,2.11268985645
-0.13010588,2.12940477338
-0.12990467,5.60418956705
-0.12975902,1.95251927677
-0.12873599,4.9326230712
-0.12762797,2.48760376615
-0.12551279,2.07283068709
-0.12471353,3.59469017003
-0.12388554,3.39843378038
-0.12335875,5.27424189284
-0.12297551,4.75541899663
-0.12278156,2.57693661394
-0.12019783,2.75416257424
-0.11942016,2.01662223274
-0.1185579,2.71692982244
-0.11799019,1.79572717874
-0.11779192,2.22502660878
-0.11704039,4.74348183066
-0.1161508,2.08929337222
-0.1159893,2.4010392249
-0.11523815,3.61253046043
-0.11493274,2.58547395729
-0.11435903,1.84751492927
-0.1141984,2.43115045418
-0.11408821,2.41083468656
-0.11380744,2.61566645748
-0.11356989,2.57345301502
-0.11323718,3.23102146683
-0.11131774,5.0183929722
-0.11100805,2.54572623286
-0.11015865,1.78908223085
-0.10973294,2.44711250938
-0.10925562,2.01048801364
-0.10904027,2.43265396437
-0.10876101,1.84752262549
-0.10861067,2.58762634318
-0.10795125,1.88365950051
-0.10760459,4.41200797763
-0.10594536,4.08802548647
-0.1047258,2.14672201141
-0.10466971,1.79379996423
-0.10452396,4.75511398695
-0.10431673,5.42527653198
-0.1030195,6.05120664623
-0.10296963,2.79617869359
-0.10172317,2.18749421124
-0.10060502,2.0431823125
-0.099552162,3.4851800201
-0.098681663,2.45407954976
-0.098218687,2.32476278907
-0.097629272,3.18990110508
-0.095680635,4.05237377941
-0.095274576,6.58902086272
-0.095047561,2.60223921453
-0.094191464,2.35278618777
-0.094041444,4.41922481666
