zeta_46m,phi_w
-0.61950894,1.60992063059
-0.61405328,1.37192199715
-0.61018976,1.28264179052
-0.60773334,1.20871477547
-0.60709459,1.15017294019
-0.59972371,1.47650766713
-0.59680115,1.1871420085
-0.59246211,1.33322989004
-0.58865102,1.52632396347
-0.58387696,1.33886269711
-0.58176596,1.45109566896
-0.57964471,1.26683168644
-0.56558092,1.28546003133
-0.55514835,1.23762103592
-0.54725369,1.35831546217
-0.53847646,1.14347797379
-0.53366814,1.34132997405
-0.52157557,1.37691404558
-0.50438313,1.26731676649
-0.50130099,1.34889030542
-0.50112267,1.2707553109
-0.50033505,1.50813004719
-0.49864243,1.27588538326
-0.49577679,1.24763751519
-0.49491469,1.19701745982
-0.49257946,1.39189693872
-0.49030061,1.53265605237
-0.48897161,1.24843903362
-0.48413736,1.14407726688
-0.48412846,1.35058012421
-0.48323278,1.23177645203
-0.48180212,1.36646045897
-0.4756202,1.48874735936
-0.47268215,1.36148916879
-0.46423292,1.48411990334
-0.4595735,1.20221778158
-0.45611119,1.35786055009
-0.45496001,1.3117715756
-0.45278849,1.3789317265
-0.44225918,1.26123774573
-0.4409742,1.37087986437
-0.43666537,1.39657454517
-0.43297361,1.48736126304
-0.43218325,1.32365463258
-0.42803035,1.343404992
-0.42603071,1.35202675149
-0.42233896,1.34760213583
-0.4220473,1.36774854818
-0.42075102,1.06432119575
-0.41885392,1.42091024377
-0.41884083,1.23724446998
-0.41708768,1.39318456628
-0.41644612,1.20156963355
-0.41586656,1.24709982757
-0.40908906,1.52748809069
-0.39936358,1.49464651539
-0.3960746,1.19694717835
-0.39468788,1.22356317922
-0.39246991,1.1839108772
-0.38538974,1.37630238306
-0.38532416,1.20983533996
-0.3836514,1.47179779825
-0.37964154,1.28823052423
-0.37761031,1.30340368516
-0.37469669,1.22646904092
-0.3741088,1.35442104527
-0.37188825,1.32348821276
-0.3717246,1.26643898764
-0.36998198,1.2614538298
-0.36371334,1.11335618752
-0.36292604,1.31235054532
-0.35577305,1.31828401685
-0.35111949,1.38243587239
-0.35105781,1.42071699998
-0.35061377,1.37122210408
-0.34970779,1.28162673215
-0.34361831,1.2170253768
-0.33997018,1.26375286012
-0.33982223,1.21996592596
-0.33952954,1.28108506765
-0.33689464,1.27012379607
-0.33620456,1.0215131544
-0.3354137,1.21198776249
-0.33397543,1.18405520088
-0.33277846,1.31496552207
-0.3306249,1.07763194996
-0.33049732,1.35599531777
-0.32894481,1.08214766948
-0.3202804,1.12755694036
-0.31983119,1.18721771687
-0.31697796,1.11943919134
-0.31531398,1.29195419758
-0.31524874,1.07612647857
-0.3147459,1.22247066419
-0.31312854,1.0244489572
-0.31200165,1.2741640565
-0.30949633,1.13764158753
-0.30622179,1.35129285379
-0.30261559,1.28623260383
-0.29703576,1.24353145039
-0.29360734,1.17490811103
-0.29009452,1.36174416343
-0.2900541,1.1781836958
-0.28883554,1.16884223966
-0.28732655,1.21501354758
-0.28380586,1.15019215165
-0.27799194,1.19324987693
-0.27746468,1.38101127481
-0.27514748,1.18186527303
-0.27335589,1.22822569605
-0.27248582,1.40725368155
-0.27202046,1.30132562757
-0.2707188,1.39178103261
-0.26526703,1.20517632074
-0.26205655,1.12444593799
-0.26189136,1.3207226671
-0.26054923,1.3159864257
-0.2595452,1.25095839628
-0.25674965,1.1444565623
-0.25628292,1.23062982262
-0.25598167,1.13776742164
-0.25394191,1.22965596358
-0.25080805,1.25582959422
-0.24818086,1.22065060981
-0.24790221,1.19514535046
-0.24745162,1.27654010877
-0.24690722,1.35326325733
-0.24479156,1.26494783865
-0.24385037,1.36212702743
-0.24290863,1.28618378452
-0.24218822,1.18152723454
-0.24181868,1.22422209633
-0.2402427,1.08748715787
-0.23974046,1.10228539494
-0.23744917,1.2215522154
-0.23726946,1.17529588057
-0.23471779,1.28672453034
-0.23249135,1.37374178746
-0.22937832,1.23619692067
-0.22924237,1.10140401584
-0.22344204,1.21337599
-0.22328463,1.08964361063
-0.22326715,1.36923466508
-0.22166412,1.21781369485
-0.22131388,1.21806784046
-0.21980552,1.34580730709
-0.21976373,1.24621627883
-0.21912216,1.11713998835
-0.21852377,1.16279981966
-0.21397591,1.25940358158
-0.21389816,1.10632334141
-0.21265266,1.11790117491
-0.20952169,1.10664060023
-0.20942759,1.1577404382
-0.20856698,1.35161926039
-0.20789087,1.09755988693
-0.2067576,1.36429851692
-0.20526014,1.07824858284
-0.2034962,1.11610337403
-0.20277702,1.12699620004
-0.1971546,1.14291896555
-0.196263,1.16021925075
-0.19571967,1.35911908458
-0.19483062,1.23165506183
-0.19398175,1.20564606688
-0.19170426,1.13118544484
-0.19013978,1.44440927489
-0.18904524,1.35513546731
-0.18832951,1.12432534697
-0.18797041,1.17563184841
-0.186404,1.17304206069
-0.18356413,1.35231142555
-0.18333583,0.97381108797
-0.18304063,1.11563073416
-0.18255912,1.26812126354
-0.18003925,1.09507671105
-0.179104,1.28035136338
-0.17815396,1.09033523309
-0.17745529,1.23715137637
-0.17675614,1.27000813716
-0.17637384,1.15825937105
-0.17557468,1.13560009645
-0.17520488,1.06672824093
-0.1750646,1.09284713598
-0.17439371,1.04445525249
-0.17372975,1.15447924307
-0.17319243,1.17249524126
-0.17135578,1.25833355056
-0.16786757,1.16166419501
-0.16747529,1.15773128058
-0.16654974,1.10126745014
-0.16613138,1.16340039037
-0.1648488,1.1462038322
-0.16171133,1.15380627961
-0.16026429,1.38164481564
-0.15874482,1.17949402784
-0.15797841,1.15562285059
-0.15727104,1.28556958159
-0.15702733,1.15112226871
-0.15647519,1.21899859635
-0.15420956,1.10726649085
-0.15377855,1.27934249198
-0.15347564,1.2129502584
-0.15318883,1.05658078153
-0.15296349,1.14889895794
-0.15191664,1.28924485806
-0.14995788,1.14763508857
-0.14912824,0.995822623217
-0.14883816,1.13023803785
-0.14807353,0.925661367683
-0.14780873,1.14556229642
-0.14678937,1.18427126742
-0.14676656,1.19005252379
-0.14553187,1.16042120939
-0.14485671,1.06288094489
-0.14457036,1.38399987064
-0.14438459,1.05112302111
-0.1440797,1.07189447431
-0.14340401,1.12390575125
-0.14283299,1.19993049914
-0.14170286,1.17728954438
-0.14135434,1.30841838068
-0.13955652,1.43731361482
-0.13908619,1.08289045917
-0.13888523,1.27915433794
-0.13785056,1.25263248263
-0.13783329,1.22987970448
-0.13777805,1.24567269973
-0.13746949,1.19367370805
-0.13684658,1.15978020501
-0.13650327,1.21369546358
-0.13587843,1.15150489476
-0.13563771,1.08111675545
-0.13370871,1.35711403838
-0.13353136,1.3524289633
-0.13256995,1.07869581058
-0.13205435,1.16796363325
-0.13151598,1.04172012344
-0.13010588,1.07035140457
-0.12990467,1.32130961529
-0.12975902,1.14633853845
-0.12873599,1.45686267345
-0.12762797,1.25054918443
-0.12551279,1.20196430908
-0.12471353,1.08683835185
-0.12388554,1.12652670487
-0.12335875,1.17464297849
-0.12297551,1.16822863885
-0.12278156,1.24651789416
-0.12019783,1.21755139038
-0.11942016,1.11437813232
-0.1185579,1.2527511571
-0.11799019,1.13269811042
-0.11779192,1.02292200611
-0.11704039,1.20097633914
-0.1161508,1.17660552856
-0.1159893,1.0149092192
-0.11523815,1.26571734853
-0.11493274,1.00546455245
-0.11435903,1.22555778075
-0.1141984,1.16740428512
-0.11408821,1.28150563533
-0.11380744,1.06557986789
-0.11356989,1.13948563721
-0.11323718,1.14814431708
