zeta_46m,phi_q
-0.33397543,2.28468734851
-0.33277846,1.53739421025
-0.3306249,1.85082817139
-0.33049732,1.79673388942
-0.32894481,1.60524323453
-0.3202804,1.6275165847
-0.31983119,1.7975787689
-0.31697796,1.84262236279
-0.31531398,1.55448423446
-0.31524874,1.78741508218
-0.3147459,1.64353189903
-0.31312854,1.50478312351
-0.31200165,1.6644052045
-0.30949633,1.6886851633
-0.30622179,1.57909128104
-0.30261559,1.67606858607
-0.29703576,1.85632332714
-0.29360734,1.64543106585
-0.29009452,2.19374666411
-0.2900541,1.36428623139
-0.28883554,1.57503580235
-0.28732655,3.99346328829
-0.28380586,1.72032698139
-0.27799194,2.1280962566
-0.27746468,1.71258209592
-0.27514748,1.89516454606
-0.27335589,2.04991351196
-0.27248582,2.03559193153
-0.27202046,2.03857859214
-0.2707188,1.74352890642
-0.26526703,1.96034191947
-0.26205655,1.8042698928
-0.26189136,1.71510444182
-0.26054923,1.5103583036
-0.2595452,1.89389741722
-0.25674965,2.00789468547
-0.25628292,1.44482112725
-0.25598167,1.71166999704
-0.25394191,1.60400751951
-0.25080805,1.73146402822
-0.24818086,1.71596930132
-0.24790221,1.61223437454
-0.24745162,1.78972158645
-0.24690722,2.03724428399
-0.24479156,1.87227447502
-0.24385037,1.80586394698
-0.24290863,1.57014747598
-0.24218822,1.57118139636
-0.24181868,1.80560357406
-0.2402427,1.87734620657
-0.23974046,1.7178145846
-0.23744917,1.85370877153
-0.23726946,1.84707904179
-0.23471779,2.09953766248
-0.23249135,1.96809073648
-0.22937832,2.17462034863
-0.22924237,1.65482585208
-0.22344204,1.7507291796
-0.22328463,1.96484992381
-0.22326715,1.82575874217
-0.22166412,2.04855028255
-0.22131388,61.9446883282
-0.21980552,2.02412552076
-0.21976373,2.25882808774
-0.21912216,1.92832842705
-0.21852377,1.79434240385
-0.21397591,2.07848878562
-0.21389816,1.88830201559
-0.21265266,1.69822409667
-0.20952169,2.00350301531
-0.20942759,1.94394737031
-0.20856698,1.74483366133
-0.20789087,1.7550377031
-0.2067576,1.74595012003
-0.20526014,2.05668301373
-0.2034962,1.89364151674
-0.20277702,1.94159286189
-0.1971546,2.08922499721
-0.196263,1.93713163347
-0.19571967,1.73561078518
-0.19483062,1.81433777743
-0.19398175,1.86297195896
-0.19170426,1.95847525486
-0.19013978,2.0429556229
-0.18904524,1.68519096765
-0.18832951,2.49437547302
-0.18797041,4.79813076072
-0.186404,1.87838659402
-0.18356413,1.8494725873
-0.18333583,1.99590689063
-0.18304063,2.03516857504
-0.18255912,1.80270231994
-0.18003925,1.84894132984
-0.179104,1.80761612868
-0.17815396,1.8097927274
-0.17745529,4.51603193994
-0.17675614,2.07223749623
-0.17637384,1.79276785491
-0.17557468,1.91044033572
-0.17520488,1.86960093983
-0.1750646,1.70910855145
-0.17439371,2.15332648386
-0.17372975,2.09110456976
-0.17319243,2.41990225463
-0.17135578,2.02797096717
-0.16786757,1.94122079772
-0.16747529,1.95329425493
-0.16654974,2.42273748637
-0.16613138,1.57164248253
-0.1648488,1.97563724543
-0.16171133,1.86642848461
-0.16026429,1.56660682135
-0.15874482,1.98152625847
-0.15797841,1.89614930762
-0.15727104,1.75701059428
-0.15702733,1.70297628283
-0.15647519,2.16870938416
-0.15420956,2.02272463455
-0.15377855,1.73776990809
-0.15347564,1.91883729441
-0.15318883,1.87081582949
-0.15296349,2.1526020001
-0.15191664,1.67245193203
-0.14995788,1.93298462578
-0.14912824,2.56104068622
-0.14883816,1.88742472064
-0.14807353,1.83731468771
-0.14780873,1.83949657821
-0.14678937,2.47039856035
-0.14676656,1.99966580052
-0.14553187,1.99407304678
-0.14485671,2.0558991788
-0.14457036,1.71269541551
-0.14438459,1.77489324411
-0.1440797,1.96535480957
-0.14340401,1.89884442635
-0.14283299,1.96913679443
-0.14170286,1.93605960594
-0.14135434,1.95030607975
-0.13955652,2.03287230597
-0.13908619,1.80683789591
-0.13888523,1.91270690436
-0.13785056,1.86609243824
-0.13783329,2.36440083553
-0.13777805,1.88881551308
-0.13746949,1.81865358724
-0.13684658,2.01157407552
-0.13650327,1.80766242656
-0.13587843,1.81544824635
-0.13563771,4.94191223816
-0.13370871,1.73724538314
-0.13353136,2.12417678668
-0.13256995,1.99804455034
-0.13205435,2.29530520056
-0.13151598,2.36376651477
-0.13010588,2.09622402775
-0.12990467,2.65581567789
-0.12975902,2.14252950209
-0.12873599,2.33012533959
-0.12762797,2.05570283303
-0.12551279,1.90921630391
-0.12471353,1.93414624665
-0.12388554,1.98751708646
-0.12335875,2.51034685668
-0.12297551,2.27031764487
-0.12278156,2.04612041666
-0.12019783,2.5092430302
-0.11942016,2.31432225318
-0.1185579,2.70213329292
-0.11799019,2.0605954915
