zeta_46m,phi_c
-0.09307594,1.59551013865
-0.092441737,2.18626362342
-0.091516595,84.3058378512
-0.09151648,1.62293085501
-0.090902511,1.62339907721
-0.089633857,2.39551000755
-0.089523358,2.01643060824
-0.089002971,29.5758710198
-0.087867003,3.84323800408
-0.086364253,1.47308838814
-0.08527933,1.65554530683
-0.084451623,2.06933544179
-0.084403038,3.48948887323
-0.083953205,2.06506611811
-0.080184337,9.0784913991
-0.078792565,2.05911083488
-0.075477408,1.69914276775
-0.07503733,1.95440113989
-0.073536116,7.7874023684
-0.072295859,1.87132419923
-0.070645355,2.18207909427
-0.070498268,5.27437687464
-0.070104441,7.60268441422
-0.069187199,1.92131476528
-0.068237496,1.69410464383
-0.067813214,2.27449533388
-0.062727533,1.65207700401
-0.061685897,2.1557460257
-0.061623519,2.29009358442
-0.061150011,1.67924861439
-0.060028336,1.734592216
-0.059365398,1.80764983458
-0.056776833,1.77974229165
-0.056052811,1.63051977978
-0.055460536,1.7601811597
-0.054497541,2.1069570048
-0.054109127,1.67330761991
-0.053261068,1.88306642373
-0.052726811,2.11325342562
-0.05211306,1.66799383229
-0.049960529,1.85361682871
-0.049068516,1.86022636892
-0.048869897,2.96149345754
-0.043077708,2.42911528251
-0.043072541,2.26479585371
-0.040396814,2.00166537898
-0.038556996,2.05634887295
-0.038147684,1.78748310665
-0.035029019,2.39849767458
-0.033895552,2.26134260712
-0.033828429,1.71127348055
-0.033670844,10.7813010951
-0.032518586,2.20038937277
-0.032455779,2.44165830448
-0.022332252,6.62922454066
-0.021638168,2.09056358024
-0.021552191,6.6564191577
-0.021317433,44.4708062302
-0.020917143,1.73443081548
-0.01922773,4.58053511992
-0.016337422,5.02819266301
-0.0095643505,1.56059512098
-0.0011953999,1.76290791941
0.00080273778,18.4633542092
0.0082582868,2.89466921619
0.014824954,7.99200752425
0.015049453,2.76804734253
0.016200944,2.21659135291
0.017061708,8.8151596913
0.019227662,1.84576642269
0.021027446,1.95220680156
0.029303874,1.76775038619
0.030967825,136.908357546
0.03210542,67.8284514148
0.034923787,5.56695235267
0.035401253,3.30934659527
0.03829262,2.39118723189
0.041570876,3.77182333289
0.05047965,2.11883605254
0.056289919,2.79633973729
0.058743591,2.26046800282
0.063302673,5.76937121941
0.073865822,7.71493074688
0.079364029,3.57075523385
0.08070109,2.03924939964
0.084920457,2.79638942534
0.085242708,3.81845091923
0.088528207,1.68386638985
0.091719962,1.82206264855
0.095125779,3.99357183392
0.098845546,4.69869512873
0.10003761,3.94943196626
0.1068112,3.02200607658
0.10812962,14.7546685624
0.10861288,4.96497290313
0.11677028,2.13516603362
0.1174223,6.50364133716
0.11861372,3.72654741504
0.13331887,2.84471899452
0.1333926,2.29807186146
0.13506547,3.10549585157
0.13651869,12.0616581979
0.13708425,4.85947637453
0.13755188,2.15024512779
0.13837147,8.67537321111
0.13862128,6.67697077419
0.14188832,2.7084213529
0.14312241,2.98436988244
0.14585928,2.82115396402
0.14663922,2.46465437782
0.14983066,2.65267738354
0.15442666,4.27438180147
0.15626732,2.60107225192
0.15634153,4.41066210034
0.1569253,2.416298922
0.15712479,5.94621333236
0.17458392,3.47092792656
0.1798471,3.82325463826
0.18265816,57.2994723914
0.18719602,7.5309719604
0.19331193,2.06362177179
0.19686682,3.0172887365
0.19749902,2.55452519928
0.20204054,2.66641996404
0.21149413,152.324970014
0.22417408,2.74587842393
0.22461659,2.86855120124
0.22529303,2.57047405068
0.22765276,2.90466372418
0.23025678,3.18633576681
0.23457208,6.13938841589
0.24080614,7.07123400453
0.2441673,2.97435109382
0.24593457,2.75857044737
0.24811371,2.49334281338
0.26023556,7.59655457688
0.26220332,2.31036113045
0.26672748,4.08979706281
0.26917817,2.00008385503
0.26936732,2.43295216283
0.27292089,2.95345294381
0.27465825,5.40861060567
0.27789728,2.0596822449
0.27816529,3.74060166973
0.28042247,2.66875218163
0.28564059,6.03652637499
0.3024312,5.90520867719
0.30774016,3.12723399866
0.30798585,2.80049153383
0.31610456,3.27918772302
0.31695378,7.17688335369
0.32776808,4.32716806461
0.34293075,4.47330273493
0.34880483,2.09982481441
0.35300523,3.2412847795
0.35765863,2.9033929202
0.36531881,2.73631937312
0.36605434,3.77779452052
0.36843918,2.19024144876
0.37202005,5.66504279907
0.37660857,3.35935618031
0.37972415,2.98052917214
0.3797351,4.38356106026
0.38119416,5.39682474289
0.38522583,2.71113654956
0.40015152,3.80758032233
0.40146407,2.85782599125
0.40767416,3.18086117993
0.41046823,3.49179702346
0.41256567,2.45822930814
0.41369219,4.91498487079
0.4150951,3.79685084914
0.41590175,3.43130019749
0.41925665,3.71325167464
0.42510985,5.02491818334
0.42938721,5.57807055987
0.43383754,2.59425039406
0.43910593,3.9185732311
0.43980133,4.79149148853
0.4408482,2.88647765779
0.4415485,2.83575191713
0.44310029,2.42367434716
0.45066119,4.25073265983
0.45415048,2.47670886175
0.45651693,24.1636531803
0.45954287,2.2234974794
0.4707415,4.45734981698
0.47214293,4.63549299229
0.47255084,4.20929446554
0.47299499,3.09704646954
0.47975348,3.807245071
0.48185057,3.25903312517
0.48794868,2.86474660689
0.48992551,4.91944533164
0.49756114,4.25316270938
0.50399917,2.66562208856
0.50800996,4.60058874271
0.50864017,5.4747360358
0.51734946,3.66730436402
0.52466121,3.26979395743
0.53185049,2.64822860016
0.54065862,7.20289558247
0.54989089,2.7252022682
0.55371178,3.39785876346
0.55455483,7.43817787857
0.55473568,5.22069676817
0.55672674,49.0452420941
0.55852451,9.14307421778
0.56415796,2.56757466967
0.57591318,2.85940201333
0.57710151,3.45352395764
0.58302921,11.5316926598
0.58489915,3.10891630714
0.58669035,5.05226448394
0.59129736,4.22504168279
